timestamp,COST,NOTES,TYPE,UNITS,USAGE,timestamp_end
2014-01-18 00:00:00,,,Electric usage,kWh,1.13,2014-01-18 00:59:00
2014-01-18 01:00:00,,,Electric usage,kWh,0.98,2014-01-18 01:59:00
2014-01-18 02:00:00,,,Electric usage,kWh,0.94,2014-01-18 02:59:00
2014-01-18 03:00:00,,,Electric usage,kWh,1.11,2014-01-18 03:59:00
2014-01-18 04:00:00,,,Electric usage,kWh,1.34,2014-01-18 04:59:00
2014-01-18 05:00:00,,,Electric usage,kWh,1.16,2014-01-18 05:59:00
2014-01-18 06:00:00,,,Electric usage,kWh,1.33,2014-01-18 06:59:00
2014-01-18 07:00:00,,,Electric usage,kWh,1.26,2014-01-18 07:59:00
2014-01-18 08:00:00,,,Electric usage,kWh,1.44,2014-01-18 08:59:00
2014-01-18 09:00:00,,,Electric usage,kWh,1.56,2014-01-18 09:59:00
2014-01-18 10:00:00,,,Electric usage,kWh,1.54,2014-01-18 10:59:00
2014-01-18 11:00:00,,,Electric usage,kWh,1.87,2014-01-18 11:59:00
2014-01-18 12:00:00,,,Electric usage,kWh,1.88,2014-01-18 12:59:00
2014-01-18 13:00:00,,,Electric usage,kWh,1.6,2014-01-18 13:59:00
2014-01-18 14:00:00,,,Electric usage,kWh,1.68,2014-01-18 14:59:00
2014-01-18 15:00:00,,,Electric usage,kWh,1.43,2014-01-18 15:59:00
2014-01-18 16:00:00,,,Electric usage,kWh,1.92,2014-01-18 16:59:00
2014-01-18 17:00:00,,,Electric usage,kWh,1.75,2014-01-18 17:59:00
2014-01-18 18:00:00,,,Electric usage,kWh,2.67,2014-01-18 18:59:00
2014-01-18 19:00:00,,,Electric usage,kWh,2.61,2014-01-18 19:59:00
2014-01-18 20:00:00,,,Electric usage,kWh,2.47,2014-01-18 20:59:00
2014-01-18 21:00:00,,,Electric usage,kWh,2.24,2014-01-18 21:59:00
2014-01-18 22:00:00,,,Electric usage,kWh,2.34,2014-01-18 22:59:00
2014-01-18 23:00:00,,,Electric usage,kWh,2.28,2014-01-18 23:59:00
2014-01-19 00:00:00,,,Electric usage,kWh,2.23,2014-01-19 00:59:00
2014-01-19 01:00:00,,,Electric usage,kWh,2.21,2014-01-19 01:59:00
2014-01-19 02:00:00,,,Electric usage,kWh,2.27,2014-01-19 02:59:00
2014-01-19 03:00:00,,,Electric usage,kWh,2.25,2014-01-19 03:59:00
