TYPE,DATE,START TIME,END TIME,USAGE,UNITS,NOTES
Electric usage,1/18/14,0:00,0:59,1.13,kWh,
Electric usage,1/18/14,1:00,1:59,0.98,kWh,
Electric usage,1/18/14,2:00,2:59,0.94,kWh,
Electric usage,1/18/14,3:00,3:59,1.11,kWh,
Electric usage,1/18/14,4:00,4:59,1.34,kWh,
Electric usage,1/18/14,5:00,5:59,1.16,kWh,
Electric usage,1/18/14,6:00,6:59,1.33,kWh,
Electric usage,1/18/14,7:00,7:59,1.26,kWh,
Electric usage,1/18/14,8:00,8:59,1.44,kWh,
Electric usage,1/18/14,9:00,9:59,1.56,kWh,
Electric usage,1/18/14,10:00,10:59,1.54,kWh,
Electric usage,1/18/14,11:00,11:59,1.87,kWh,
Electric usage,1/18/14,12:00,12:59,1.88,kWh,
Electric usage,1/18/14,13:00,13:59,1.6,kWh,
Electric usage,1/18/14,14:00,14:59,1.68,kWh,
Electric usage,1/18/14,15:00,15:59,1.43,kWh,
Electric usage,1/18/14,16:00,16:59,1.92,kWh,
Electric usage,1/18/14,17:00,17:59,1.75,kWh,
Electric usage,1/18/14,18:00,18:59,2.67,kWh,
Electric usage,1/18/14,19:00,19:59,2.61,kWh,
Electric usage,1/18/14,20:00,20:59,2.47,kWh,
Electric usage,1/18/14,21:00,21:59,2.24,kWh,
Electric usage,1/18/14,22:00,22:59,2.34,kWh,
Electric usage,1/18/14,23:00,23:59,2.28,kWh,
Electric usage,1/19/14,0:00,0:59,2.23,kWh,
Electric usage,1/19/14,1:00,1:59,2.21,kWh,
Electric usage,1/19/14,2:00,2:59,2.27,kWh,
Electric usage,1/19/14,3:00,3:59,2.25,kWh,
Electric usage,1/19/14,4:00,4:59,2.2,kWh,
Electric usage,1/19/14,5:00,5:59,2.16,kWh,
Electric usage,1/19/14,6:00,6:59,2.15,kWh,
Electric usage,1/19/14,7:00,7:59,2.2,kWh,
Electric usage,1/19/14,8:00,8:59,2.28,kWh,
Electric usage,1/19/14,9:00,9:59,2.19,kWh,
Electric usage,1/19/14,10:00,10:59,2.32,kWh,
Electric usage,1/19/14,11:00,11:59,1.94,kWh,
Electric usage,1/19/14,12:00,12:59,1.8,kWh,
Electric usage,1/19/14,13:00,13:59,1.82,kWh,
Electric usage,1/19/14,14:00,14:59,1.39,kWh,
Electric usage,1/19/14,15:00,15:59,1.47,kWh,
Electric usage,1/19/14,16:00,16:59,1.57,kWh,
Electric usage,1/19/14,17:00,17:59,1.69,kWh,
Electric usage,1/19/14,18:00,18:59,1.55,kWh,
Electric usage,1/19/14,19:00,19:59,1.51,kWh,
Electric usage,1/19/14,20:00,20:59,1.55,kWh,
Electric usage,1/19/14,21:00,21:59,1.68,kWh,
Electric usage,1/19/14,22:00,22:59,1.6,kWh,
Electric usage,1/19/14,23:00,23:59,1.73,kWh,
Electric usage,1/20/14,0:00,0:59,1.58,kWh,
Electric usage,1/20/14,1:00,1:59,1.57,kWh,
Electric usage,1/20/14,2:00,2:59,1.61,kWh,
Electric usage,1/20/14,3:00,3:59,1.55,kWh,
Electric usage,1/20/14,4:00,4:59,1.68,kWh,
Electric usage,1/20/14,5:00,5:59,1.6,kWh,
Electric usage,1/20/14,6:00,6:59,1.6,kWh,
Electric usage,1/20/14,7:00,7:59,1.64,kWh,
Electric usage,1/20/14,8:00,8:59,1.62,kWh,
Electric usage,1/20/14,9:00,9:59,1.43,kWh,
