,conds,hum,precipm,tempm,wspdm
2014-06-01 00:54:00,Mostly Cloudy,75.0,,15.0,7.4
2014-06-01 01:54:00,Scattered Clouds,72.0,,15.0,7.4
2014-06-01 02:54:00,Partly Cloudy,83.0,,12.8,0.0
2014-06-01 03:54:00,Clear,86.0,,12.2,0.0
2014-06-01 04:54:00,Clear,88.0,,11.0,0.0
2014-06-01 05:54:00,Scattered Clouds,89.0,,11.1,0.0
2014-06-01 06:54:00,Scattered Clouds,87.0,,13.3,0.0
2014-06-01 07:54:00,Partly Cloudy,68.0,,17.0,7.4
2014-06-01 08:54:00,Partly Cloudy,58.0,,17.8,0.0
2014-06-01 09:54:00,Scattered Clouds,52.0,,19.0,7.4
2014-06-01 10:54:00,Scattered Clouds,53.0,,20.6,11.1
2014-06-01 11:54:00,Scattered Clouds,49.0,,21.7,7.4
2014-06-01 12:54:00,Scattered Clouds,43.0,,22.2,7.4
2014-06-01 13:54:00,Scattered Clouds,38.0,,22.8,0.0
2014-06-01 14:54:00,Scattered Clouds,40.0,,23.3,0.0
2014-06-01 15:54:00,Scattered Clouds,41.0,,23.3,16.7
2014-06-01 16:54:00,Scattered Clouds,40.0,,23.9,14.8
2014-06-01 17:54:00,Scattered Clouds,40.0,,23.3,11.1
2014-06-01 18:54:00,Scattered Clouds,38.0,,22.8,14.8
2014-06-01 19:54:00,Scattered Clouds,39.0,,21.1,7.4
2014-06-01 20:54:00,Partly Cloudy,47.0,,19.4,5.6
2014-06-01 21:54:00,Partly Cloudy,58.0,,17.8,7.4
2014-06-01 22:54:00,Partly Cloudy,68.0,,17.0,5.6
2014-06-01 23:54:00,Partly Cloudy,65.0,,17.2,5.6
2014-06-02 00:54:00,Partly Cloudy,72.0,,15.6,0.0
2014-06-02 01:54:00,Clear,78.0,,14.4,0.0
2014-06-02 02:54:00,Clear,77.0,,13.9,0.0
2014-06-02 03:54:00,Clear,80.0,,13.3,0.0
2014-06-02 04:54:00,Scattered Clouds,83.0,,12.8,0.0
2014-06-02 05:54:00,Scattered Clouds,86.0,,12.2,5.6
2014-06-02 06:54:00,Scattered Clouds,80.0,,13.3,0.0
2014-06-02 07:54:00,Scattered Clouds,69.0,,15.6,11.1
2014-06-02 08:54:00,Scattered Clouds,56.0,,18.3,9.3
2014-06-02 09:54:00,Scattered Clouds,47.0,,20.6,14.8
2014-06-02 10:54:00,Scattered Clouds,43.0,,22.2,11.1
2014-06-02 11:54:00,Scattered Clouds,40.0,,23.9,14.8
2014-06-02 12:54:00,Scattered Clouds,41.0,,25.0,14.8
2014-06-02 13:54:00,Scattered Clouds,39.0,,26.0,11.1
2014-06-02 14:54:00,Scattered Clouds,39.0,,26.1,16.7
2014-06-02 15:54:00,Scattered Clouds,39.0,,26.7,14.8
2014-06-02 16:54:00,Mostly Cloudy,44.0,,26.1,14.8
2014-06-02 17:54:00,Mostly Cloudy,44.0,,26.1,9.3
2014-06-02 18:54:00,Mostly Cloudy,45.0,,26.1,14.8
2014-06-02 19:54:00,Mostly Cloudy,50.0,,25.0,9.3
