TYPE,DATE,START TIME,END TIME,USAGE,UNITS,COST,NOTES
Electric usage,6/1/14,0:00,0:59,0.12,kWh,$0.02 ,
Electric usage,6/1/14,1:00,1:59,0.12,kWh,$0.01 ,
Electric usage,6/1/14,2:00,2:59,0.1,kWh,$0.01 ,
Electric usage,6/1/14,3:00,3:59,0.1,kWh,$0.01 ,
Electric usage,6/1/14,4:00,4:59,0.11,kWh,$0.01 ,
Electric usage,6/1/14,5:00,5:59,0.1,kWh,$0.01 ,
Electric usage,6/1/14,6:00,6:59,0.1,kWh,$0.01 ,
Electric usage,6/1/14,7:00,7:59,0.12,kWh,$0.02 ,
Electric usage,6/1/14,8:00,8:59,0.57,kWh,$0.07 ,
Electric usage,6/1/14,9:00,9:59,0.21,kWh,$0.03 ,
Electric usage,6/1/14,10:00,10:59,0.12,kWh,$0.01 ,
Electric usage,6/1/14,11:00,11:59,0.11,kWh,$0.01 ,
Electric usage,6/1/14,12:00,12:59,0.1,kWh,$0.01 ,
Electric usage,6/1/14,13:00,13:59,0.11,kWh,$0.01 ,
Electric usage,6/1/14,14:00,14:59,0.6,kWh,$0.07 ,
Electric usage,6/1/14,15:00,15:59,0.37,kWh,$0.05 ,
Electric usage,6/1/14,16:00,16:59,0.31,kWh,$0.04 ,
Electric usage,6/1/14,17:00,17:59,0.39,kWh,$0.05 ,
Electric usage,6/1/14,18:00,18:59,0.36,kWh,$0.05 ,
Electric usage,6/1/14,19:00,19:59,0.32,kWh,$0.04 ,
Electric usage,6/1/14,20:00,20:59,1.78,kWh,$0.22 ,
Electric usage,6/1/14,21:00,21:59,1.47,kWh,$0.18 ,
Electric usage,6/1/14,22:00,22:59,0.13,kWh,$0.02 ,
Electric usage,6/1/14,23:00,23:59,0.46,kWh,$0.06 ,
Electric usage,6/2/14,0:00,0:59,0.11,kWh,$0.01 ,
Electric usage,6/2/14,1:00,1:59,0.11,kWh,$0.01 ,
Electric usage,6/2/14,2:00,2:59,0.1,kWh,$0.01 ,
Electric usage,6/2/14,3:00,3:59,0.11,kWh,$0.01 ,
Electric usage,6/2/14,4:00,4:59,0.1,kWh,$0.01 ,
Electric usage,6/2/14,5:00,5:59,0.1,kWh,$0.01 ,
Electric usage,6/2/14,6:00,6:59,2.16,kWh,$0.27 ,
Electric usage,6/2/14,7:00,7:59,1.37,kWh,$0.17 ,
Electric usage,6/2/14,8:00,8:59,0.54,kWh,$0.07 ,
Electric usage,6/2/14,9:00,9:59,0.08,kWh,$0.01 ,
Electric usage,6/2/14,10:00,10:59,0.08,kWh,$0.01 ,
Electric usage,6/2/14,11:00,11:59,0.08,kWh,$0.01 ,
Electric usage,6/2/14,12:00,12:59,0.08,kWh,$0.01 ,
Electric usage,6/2/14,13:00,13:59,0.39,kWh,$0.05 ,
Electric usage,6/2/14,14:00,14:59,0.14,kWh,$0.02 ,
Electric usage,6/2/14,15:00,15:59,0.08,kWh,$0.01 ,
Electric usage,6/2/14,16:00,16:59,0.08,kWh,$0.01 ,
Electric usage,6/2/14,17:00,17:59,0.15,kWh,$0.02 ,
Electric usage,6/2/14,18:00,18:59,0.47,kWh,$0.06 ,
Electric usage,6/2/14,19:00,19:59,0.35,kWh,$0.04 ,
Electric usage,6/2/14,20:00,20:59,0.45,kWh,$0.06 ,
Electric usage,6/2/14,21:00,21:59,1.04,kWh,$0.13 ,
Electric usage,6/2/14,22:00,22:59,2.48,kWh,$0.31 ,
Electric usage,6/2/14,23:00,23:59,1.44,kWh,$0.18 ,
Electric usage,6/3/14,0:00,0:59,1.04,kWh,$0.13 ,
Electric usage,6/3/14,1:00,1:59,0.69,kWh,$0.09 ,
Electric usage,6/3/14,2:00,2:59,0.96,kWh,$0.12 ,
Electric usage,6/3/14,3:00,3:59,0.54,kWh,$0.07 ,
Electric usage,6/3/14,4:00,4:59,0.3,kWh,$0.04 ,
Electric usage,6/3/14,5:00,5:59,0.51,kWh,$0.06 ,
Electric usage,6/3/14,6:00,6:59,2.22,kWh,$0.28 ,
Electric usage,6/3/14,7:00,7:59,2.17,kWh,$0.27 ,
Electric usage,6/3/14,8:00,8:59,0.08,kWh,$0.01 ,
Electric usage,6/3/14,9:00,9:59,0.08,kWh,$0.01 ,
Electric usage,6/3/14,10:00,10:59,0.08,kWh,$0.01 ,
Electric usage,6/3/14,11:00,11:59,0.08,kWh,$0.01 ,
Electric usage,6/3/14,12:00,12:59,0.42,kWh,$0.05 ,
Electric usage,6/3/14,13:00,13:59,0.08,kWh,$0.01 ,
Electric usage,6/3/14,14:00,14:59,0.08,kWh,$0.01 ,
Electric usage,6/3/14,15:00,15:59,0.08,kWh,$0.01 ,
Electric usage,6/3/14,16:00,16:59,0.08,kWh,$0.01 ,
Electric usage,6/3/14,17:00,17:59,0.09,kWh,$0.01 ,
Electric usage,6/3/14,18:00,18:59,0.12,kWh,$0.02 ,
Electric usage,6/3/14,19:00,19:59,0.72,kWh,$0.09 ,
Electric usage,6/3/14,20:00,20:59,0.75,kWh,$0.09 ,
Electric usage,6/3/14,21:00,21:59,1.5,kWh,$0.19 ,
Electric usage,6/3/14,22:00,22:59,2.16,kWh,$0.27 ,
Electric usage,6/3/14,23:00,23:59,1.51,kWh,$0.19 ,
Electric usage,6/4/14,0:00,0:59,1.12,kWh,$0.14 ,
Electric usage,6/4/14,1:00,1:59,0.82,kWh,$0.10 ,
Electric usage,6/4/14,2:00,2:59,0.68,kWh,$0.08 ,
Electric usage,6/4/14,3:00,3:59,0.81,kWh,$0.10 ,
Electric usage,6/4/14,4:00,4:59,0.72,kWh,$0.09 ,
Electric usage,6/4/14,5:00,5:59,0.61,kWh,$0.08 ,
Electric usage,6/4/14,6:00,6:59,2.15,kWh,$0.27 ,
Electric usage,6/4/14,7:00,7:59,0.08,kWh,$0.01 ,
Electric usage,6/4/14,8:00,8:59,0.48,kWh,$0.06 ,
Electric usage,6/4/14,9:00,9:59,0.08,kWh,$0.01 ,
Electric usage,6/4/14,10:00,10:59,0.08,kWh,$0.01 ,
Electric usage,6/4/14,11:00,11:59,0.08,kWh,$0.01 ,
Electric usage,6/4/14,12:00,12:59,0.08,kWh,$0.01 ,
Electric usage,6/4/14,13:00,13:59,0.08,kWh,$0.01 ,
Electric usage,6/4/14,14:00,14:59,0.08,kWh,$0.01 ,
Electric usage,6/4/14,15:00,15:59,0.45,kWh,$0.06 ,
Electric usage,6/4/14,16:00,16:59,0.09,kWh,$0.01 ,
Electric usage,6/4/14,17:00,17:59,0.57,kWh,$0.07 ,
Electric usage,6/4/14,18:00,18:59,0.53,kWh,$0.07 ,
Electric usage,6/4/14,19:00,19:59,0.62,kWh,$0.08 ,
Electric usage,6/4/14,20:00,20:59,1.01,kWh,$0.13 ,
Electric usage,6/4/14,21:00,21:59,0.99,kWh,$0.12 ,
Electric usage,6/4/14,22:00,22:59,2.2,kWh,$0.28 ,
Electric usage,6/4/14,23:00,23:59,1.62,kWh,$0.20 ,
Electric usage,6/5/14,0:00,0:59,1.22,kWh,$0.15 ,
Electric usage,6/5/14,1:00,1:59,0.99,kWh,$0.12 ,
Electric usage,6/5/14,2:00,2:59,0.82,kWh,$0.10 ,
Electric usage,6/5/14,3:00,3:59,0.78,kWh,$0.10 ,
Electric usage,6/5/14,4:00,4:59,1.18,kWh,$0.15 ,
Electric usage,6/5/14,5:00,5:59,0.59,kWh,$0.07 ,
Electric usage,6/5/14,6:00,6:59,1.86,kWh,$0.23 ,
Electric usage,6/5/14,7:00,7:59,0.08,kWh,$0.01 ,
Electric usage,6/5/14,8:00,8:59,0.08,kWh,$0.01 ,
Electric usage,6/5/14,9:00,9:59,0.46,kWh,$0.06 ,
Electric usage,6/5/14,10:00,10:59,0.08,kWh,$0.01 ,
Electric usage,6/5/14,11:00,11:59,0.08,kWh,$0.01 ,
Electric usage,6/5/14,12:00,12:59,0.08,kWh,$0.01 ,
Electric usage,6/5/14,13:00,13:59,0.08,kWh,$0.01 ,
Electric usage,6/5/14,14:00,14:59,0.08,kWh,$0.01 ,
Electric usage,6/5/14,15:00,15:59,0.08,kWh,$0.01 ,
Electric usage,6/5/14,16:00,16:59,0.08,kWh,$0.01 ,
Electric usage,6/5/14,17:00,17:59,0.08,kWh,$0.01 ,
Electric usage,6/5/14,18:00,18:59,0.08,kWh,$0.01 ,
Electric usage,6/5/14,19:00,19:59,0.47,kWh,$0.06 ,
Electric usage,6/5/14,20:00,20:59,0.08,kWh,$0.01 ,
Electric usage,6/5/14,21:00,21:59,0.85,kWh,$0.11 ,
Electric usage,6/5/14,22:00,22:59,1.55,kWh,$0.19 ,
Electric usage,6/5/14,23:00,23:59,0.92,kWh,$0.11 ,
Electric usage,6/6/14,0:00,0:59,0.78,kWh,$0.10 ,
Electric usage,6/6/14,1:00,1:59,0.51,kWh,$0.06 ,
Electric usage,6/6/14,2:00,2:59,0.28,kWh,$0.04 ,
Electric usage,6/6/14,3:00,3:59,0.43,kWh,$0.05 ,
Electric usage,6/6/14,4:00,4:59,0.26,kWh,$0.03 ,
Electric usage,6/6/14,5:00,5:59,0.27,kWh,$0.03 ,
Electric usage,6/6/14,6:00,6:59,1.39,kWh,$0.17 ,
Electric usage,6/6/14,7:00,7:59,0.27,kWh,$0.03 ,
Electric usage,6/6/14,8:00,8:59,0.24,kWh,$0.03 ,
Electric usage,6/6/14,9:00,9:59,0.8,kWh,$0.10 ,
Electric usage,6/6/14,10:00,10:59,0.27,kWh,$0.03 ,
Electric usage,6/6/14,11:00,11:59,0.26,kWh,$0.03 ,
Electric usage,6/6/14,12:00,12:59,0.42,kWh,$0.05 ,
Electric usage,6/6/14,13:00,13:59,0.26,kWh,$0.03 ,
Electric usage,6/6/14,14:00,14:59,0.26,kWh,$0.03 ,
Electric usage,6/6/14,15:00,15:59,0.3,kWh,$0.04 ,
Electric usage,6/6/14,16:00,16:59,0.56,kWh,$0.07 ,
Electric usage,6/6/14,17:00,17:59,0.87,kWh,$0.11 ,
Electric usage,6/6/14,18:00,18:59,1,kWh,$0.12 ,
Electric usage,6/6/14,19:00,19:59,0.89,kWh,$0.11 ,
Electric usage,6/6/14,20:00,20:59,0.56,kWh,$0.07 ,
Electric usage,6/6/14,21:00,21:59,0.63,kWh,$0.08 ,
Electric usage,6/6/14,22:00,22:59,0.84,kWh,$0.11 ,
Electric usage,6/6/14,23:00,23:59,0.53,kWh,$0.07 ,
Electric usage,6/7/14,0:00,0:59,0.28,kWh,$0.03 ,
Electric usage,6/7/14,1:00,1:59,0.28,kWh,$0.04 ,
Electric usage,6/7/14,2:00,2:59,0.48,kWh,$0.06 ,
Electric usage,6/7/14,3:00,3:59,0.26,kWh,$0.03 ,
Electric usage,6/7/14,4:00,4:59,0.24,kWh,$0.03 ,
Electric usage,6/7/14,5:00,5:59,0.24,kWh,$0.03 ,
Electric usage,6/7/14,6:00,6:59,0.25,kWh,$0.03 ,
Electric usage,6/7/14,7:00,7:59,1.13,kWh,$0.14 ,
Electric usage,6/7/14,8:00,8:59,3.28,kWh,$0.41 ,
Electric usage,6/7/14,9:00,9:59,4.23,kWh,$0.53 ,
Electric usage,6/7/14,10:00,10:59,3.27,kWh,$0.41 ,
Electric usage,6/7/14,11:00,11:59,1.88,kWh,$0.23 ,
Electric usage,6/7/14,12:00,12:59,1.8,kWh,$0.22 ,
Electric usage,6/7/14,13:00,13:59,2.15,kWh,$0.27 ,
Electric usage,6/7/14,14:00,14:59,1.21,kWh,$0.15 ,
Electric usage,6/7/14,15:00,15:59,0.63,kWh,$0.08 ,
Electric usage,6/7/14,16:00,16:59,0.81,kWh,$0.10 ,
Electric usage,6/7/14,17:00,17:59,1.18,kWh,$0.15 ,
Electric usage,6/7/14,18:00,18:59,2.22,kWh,$0.28 ,
Electric usage,6/7/14,19:00,19:59,3.46,kWh,$0.43 ,
Electric usage,6/7/14,20:00,20:59,2.46,kWh,$0.31 ,
Electric usage,6/7/14,21:00,21:59,1.08,kWh,$0.14 ,
Electric usage,6/7/14,22:00,22:59,0.66,kWh,$0.08 ,
Electric usage,6/7/14,23:00,23:59,0.64,kWh,$0.08 ,
Electric usage,6/8/14,0:00,0:59,0.64,kWh,$0.08 ,
Electric usage,6/8/14,1:00,1:59,0.54,kWh,$0.07 ,
Electric usage,6/8/14,2:00,2:59,0.36,kWh,$0.05 ,
Electric usage,6/8/14,3:00,3:59,1,kWh,$0.13 ,
Electric usage,6/8/14,4:00,4:59,1.4,kWh,$0.17 ,
Electric usage,6/8/14,5:00,5:59,1.08,kWh,$0.13 ,
Electric usage,6/8/14,6:00,6:59,0.89,kWh,$0.11 ,
Electric usage,6/8/14,7:00,7:59,1,kWh,$0.12 ,
Electric usage,6/8/14,8:00,8:59,0.73,kWh,$0.09 ,
Electric usage,6/8/14,9:00,9:59,1.87,kWh,$0.23 ,
Electric usage,6/8/14,10:00,10:59,0.61,kWh,$0.08 ,
Electric usage,6/8/14,11:00,11:59,0.13,kWh,$0.02 ,
Electric usage,6/8/14,12:00,12:59,0.13,kWh,$0.02 ,
Electric usage,6/8/14,13:00,13:59,0.13,kWh,$0.02 ,
Electric usage,6/8/14,14:00,14:59,0.13,kWh,$0.02 ,
Electric usage,6/8/14,15:00,15:59,1.74,kWh,$0.22 ,
Electric usage,6/8/14,16:00,16:59,1.08,kWh,$0.14 ,
Electric usage,6/8/14,17:00,17:59,1.59,kWh,$0.20 ,
Electric usage,6/8/14,18:00,18:59,3.12,kWh,$0.39 ,
Electric usage,6/8/14,19:00,19:59,0.16,kWh,$0.02 ,
Electric usage,6/8/14,20:00,20:59,0.16,kWh,$0.02 ,
Electric usage,6/8/14,21:00,21:59,0.47,kWh,$0.06 ,
Electric usage,6/8/14,22:00,22:59,2.1,kWh,$0.26 ,
Electric usage,6/8/14,23:00,23:59,1.38,kWh,$0.17 ,
Electric usage,6/9/14,0:00,0:59,1.28,kWh,$0.16 ,
Electric usage,6/9/14,1:00,1:59,0.81,kWh,$0.10 ,
Electric usage,6/9/14,2:00,2:59,0.72,kWh,$0.09 ,
Electric usage,6/9/14,3:00,3:59,0.57,kWh,$0.07 ,
Electric usage,6/9/14,4:00,4:59,0.75,kWh,$0.09 ,
Electric usage,6/9/14,5:00,5:59,0.74,kWh,$0.09 ,
Electric usage,6/9/14,6:00,6:59,1.45,kWh,$0.18 ,
Electric usage,6/9/14,7:00,7:59,1.4,kWh,$0.17 ,
Electric usage,6/9/14,8:00,8:59,1.36,kWh,$0.17 ,
Electric usage,6/9/14,9:00,9:59,1.87,kWh,$0.23 ,
Electric usage,6/9/14,10:00,10:59,1.45,kWh,$0.18 ,
Electric usage,6/9/14,11:00,11:59,2.23,kWh,$0.28 ,
Electric usage,6/9/14,12:00,12:59,1.38,kWh,$0.17 ,
Electric usage,6/9/14,13:00,13:59,1.24,kWh,$0.16 ,
Electric usage,6/9/14,14:00,14:59,1.08,kWh,$0.14 ,
Electric usage,6/9/14,15:00,15:59,1.06,kWh,$0.13 ,
Electric usage,6/9/14,16:00,16:59,1.84,kWh,$0.23 ,
Electric usage,6/9/14,17:00,17:59,2.34,kWh,$0.29 ,
Electric usage,6/9/14,18:00,18:59,3.32,kWh,$0.41 ,
Electric usage,6/9/14,19:00,19:59,2.22,kWh,$0.28 ,
Electric usage,6/9/14,20:00,20:59,2.4,kWh,$0.30 ,
Electric usage,6/9/14,21:00,21:59,1.34,kWh,$0.17 ,
Electric usage,6/9/14,22:00,22:59,0.58,kWh,$0.07 ,
Electric usage,6/9/14,23:00,23:59,0.55,kWh,$0.07 ,
Electric usage,6/10/14,0:00,0:59,0.54,kWh,$0.07 ,
Electric usage,6/10/14,1:00,1:59,0.92,kWh,$0.12 ,
Electric usage,6/10/14,2:00,2:59,0.38,kWh,$0.05 ,
Electric usage,6/10/14,3:00,3:59,0.58,kWh,$0.07 ,
Electric usage,6/10/14,4:00,4:59,0.7,kWh,$0.09 ,
Electric usage,6/10/14,5:00,5:59,0.58,kWh,$0.07 ,
Electric usage,6/10/14,6:00,6:59,2.13,kWh,$0.27 ,
Electric usage,6/10/14,7:00,7:59,0.1,kWh,$0.01 ,
Electric usage,6/10/14,8:00,8:59,0.09,kWh,$0.01 ,
Electric usage,6/10/14,9:00,9:59,0.46,kWh,$0.06 ,
Electric usage,6/10/14,10:00,10:59,0.08,kWh,$0.01 ,
Electric usage,6/10/14,11:00,11:59,0.08,kWh,$0.01 ,
Electric usage,6/10/14,12:00,12:59,0.08,kWh,$0.01 ,
Electric usage,6/10/14,13:00,13:59,0.08,kWh,$0.01 ,
Electric usage,6/10/14,14:00,14:59,0.08,kWh,$0.01 ,
Electric usage,6/10/14,15:00,15:59,0.08,kWh,$0.01 ,
Electric usage,6/10/14,16:00,16:59,0.08,kWh,$0.01 ,
Electric usage,6/10/14,17:00,17:59,0.08,kWh,$0.01 ,
Electric usage,6/10/14,18:00,18:59,0.08,kWh,$0.01 ,
Electric usage,6/10/14,19:00,19:59,1.26,kWh,$0.16 ,
Electric usage,6/10/14,20:00,20:59,3.51,kWh,$0.44 ,
Electric usage,6/10/14,21:00,21:59,2.33,kWh,$0.29 ,
Electric usage,6/10/14,22:00,22:59,1.19,kWh,$0.15 ,
Electric usage,6/10/14,23:00,23:59,1.03,kWh,$0.13 ,
Electric usage,6/11/14,0:00,0:59,0.88,kWh,$0.11 ,
Electric usage,6/11/14,1:00,1:59,0.71,kWh,$0.09 ,
Electric usage,6/11/14,2:00,2:59,0.59,kWh,$0.07 ,
Electric usage,6/11/14,3:00,3:59,0.81,kWh,$0.10 ,
Electric usage,6/11/14,4:00,4:59,0.66,kWh,$0.08 ,
Electric usage,6/11/14,5:00,5:59,1.98,kWh,$0.25 ,
Electric usage,6/11/14,6:00,6:59,2.38,kWh,$0.30 ,
Electric usage,6/11/14,7:00,7:59,0.56,kWh,$0.07 ,
Electric usage,6/11/14,8:00,8:59,0.08,kWh,$0.01 ,
Electric usage,6/11/14,9:00,9:59,0.08,kWh,$0.01 ,
Electric usage,6/11/14,10:00,10:59,0.08,kWh,$0.01 ,
Electric usage,6/11/14,11:00,11:59,0.08,kWh,$0.01 ,
Electric usage,6/11/14,12:00,12:59,0.08,kWh,$0.01 ,
Electric usage,6/11/14,13:00,13:59,0.44,kWh,$0.06 ,
Electric usage,6/11/14,14:00,14:59,0.08,kWh,$0.01 ,
Electric usage,6/11/14,15:00,15:59,0.08,kWh,$0.01 ,
Electric usage,6/11/14,16:00,16:59,0.16,kWh,$0.02 ,
Electric usage,6/11/14,17:00,17:59,0.2,kWh,$0.03 ,
Electric usage,6/11/14,18:00,18:59,2.37,kWh,$0.30 ,
Electric usage,6/11/14,19:00,19:59,2.36,kWh,$0.29 ,
Electric usage,6/11/14,20:00,20:59,3.73,kWh,$0.47 ,
Electric usage,6/11/14,21:00,21:59,2.63,kWh,$0.33 ,
Electric usage,6/11/14,22:00,22:59,1.67,kWh,$0.21 ,
Electric usage,6/11/14,23:00,23:59,1.4,kWh,$0.18 ,
Electric usage,6/12/14,0:00,0:59,1.22,kWh,$0.15 ,
Electric usage,6/12/14,1:00,1:59,1.38,kWh,$0.17 ,
Electric usage,6/12/14,2:00,2:59,0.94,kWh,$0.12 ,
Electric usage,6/12/14,3:00,3:59,0.88,kWh,$0.11 ,
Electric usage,6/12/14,4:00,4:59,0.88,kWh,$0.11 ,
Electric usage,6/12/14,5:00,5:59,0.84,kWh,$0.11 ,
Electric usage,6/12/14,6:00,6:59,1.11,kWh,$0.14 ,
Electric usage,6/12/14,7:00,7:59,0.08,kWh,$0.01 ,
Electric usage,6/12/14,8:00,8:59,0.08,kWh,$0.01 ,
Electric usage,6/12/14,9:00,9:59,0.08,kWh,$0.01 ,
Electric usage,6/12/14,10:00,10:59,0.08,kWh,$0.01 ,
Electric usage,6/12/14,11:00,11:59,0.08,kWh,$0.01 ,
Electric usage,6/12/14,12:00,12:59,0.08,kWh,$0.01 ,
Electric usage,6/12/14,13:00,13:59,0.52,kWh,$0.07 ,
Electric usage,6/12/14,14:00,14:59,0.08,kWh,$0.01 ,
Electric usage,6/12/14,15:00,15:59,0.08,kWh,$0.01 ,
Electric usage,6/12/14,16:00,16:59,0.08,kWh,$0.01 ,
Electric usage,6/12/14,17:00,17:59,0.11,kWh,$0.01 ,
Electric usage,6/12/14,18:00,18:59,0.37,kWh,$0.05 ,
Electric usage,6/12/14,19:00,19:59,0.3,kWh,$0.04 ,
Electric usage,6/12/14,20:00,20:59,0.27,kWh,$0.03 ,
Electric usage,6/12/14,21:00,21:59,0.38,kWh,$0.05 ,
Electric usage,6/12/14,22:00,22:59,0.19,kWh,$0.02 ,
Electric usage,6/12/14,23:00,23:59,0.09,kWh,$0.01 ,
Electric usage,6/13/14,0:00,0:59,0.08,kWh,$0.01 ,
Electric usage,6/13/14,1:00,1:59,1.73,kWh,$0.22 ,
Electric usage,6/13/14,2:00,2:59,2.08,kWh,$0.26 ,
Electric usage,6/13/14,3:00,3:59,1.46,kWh,$0.18 ,
Electric usage,6/13/14,4:00,4:59,1.77,kWh,$0.22 ,
Electric usage,6/13/14,5:00,5:59,1.14,kWh,$0.14 ,
Electric usage,6/13/14,6:00,6:59,2.26,kWh,$0.28 ,
Electric usage,6/13/14,7:00,7:59,1.01,kWh,$0.13 ,
Electric usage,6/13/14,8:00,8:59,0.74,kWh,$0.09 ,
Electric usage,6/13/14,9:00,9:59,0.92,kWh,$0.11 ,
Electric usage,6/13/14,10:00,10:59,0.54,kWh,$0.07 ,
Electric usage,6/13/14,11:00,11:59,0.34,kWh,$0.04 ,
Electric usage,6/13/14,12:00,12:59,0.58,kWh,$0.07 ,
Electric usage,6/13/14,13:00,13:59,0.74,kWh,$0.09 ,
Electric usage,6/13/14,14:00,14:59,1.75,kWh,$0.22 ,
Electric usage,6/13/14,15:00,15:59,2.77,kWh,$0.35 ,
Electric usage,6/13/14,16:00,16:59,2.6,kWh,$0.32 ,
Electric usage,6/13/14,17:00,17:59,2.88,kWh,$0.36 ,
Electric usage,6/13/14,18:00,18:59,3.38,kWh,$0.42 ,
Electric usage,6/13/14,19:00,19:59,1.56,kWh,$0.19 ,
Electric usage,6/13/14,20:00,20:59,0.95,kWh,$0.12 ,
Electric usage,6/13/14,21:00,21:59,1.07,kWh,$0.13 ,
Electric usage,6/13/14,22:00,22:59,1.05,kWh,$0.13 ,
Electric usage,6/13/14,23:00,23:59,0.52,kWh,$0.07 ,
Electric usage,6/14/14,0:00,0:59,0.78,kWh,$0.10 ,
Electric usage,6/14/14,1:00,1:59,0.93,kWh,$0.12 ,
Electric usage,6/14/14,2:00,2:59,0.5,kWh,$0.06 ,
Electric usage,6/14/14,3:00,3:59,0.52,kWh,$0.07 ,
Electric usage,6/14/14,4:00,4:59,0.53,kWh,$0.07 ,
Electric usage,6/14/14,5:00,5:59,0.51,kWh,$0.06 ,
Electric usage,6/14/14,6:00,6:59,0.45,kWh,$0.06 ,
Electric usage,6/14/14,7:00,7:59,1,kWh,$0.12 ,
Electric usage,6/14/14,8:00,8:59,1.45,kWh,$0.18 ,
Electric usage,6/14/14,9:00,9:59,0.17,kWh,$0.02 ,
Electric usage,6/14/14,10:00,10:59,0.14,kWh,$0.02 ,
Electric usage,6/14/14,11:00,11:59,0.2,kWh,$0.03 ,
Electric usage,6/14/14,12:00,12:59,0.1,kWh,$0.01 ,
Electric usage,6/14/14,13:00,13:59,0.18,kWh,$0.02 ,
Electric usage,6/14/14,14:00,14:59,1.96,kWh,$0.24 ,
Electric usage,6/14/14,15:00,15:59,3.15,kWh,$0.39 ,
Electric usage,6/14/14,16:00,16:59,0.1,kWh,$0.01 ,
Electric usage,6/14/14,17:00,17:59,0.1,kWh,$0.01 ,
Electric usage,6/14/14,18:00,18:59,0.52,kWh,$0.06 ,
Electric usage,6/14/14,19:00,19:59,0.18,kWh,$0.02 ,
Electric usage,6/14/14,20:00,20:59,0.48,kWh,$0.06 ,
Electric usage,6/14/14,21:00,21:59,0.71,kWh,$0.09 ,
Electric usage,6/14/14,22:00,22:59,1.46,kWh,$0.18 ,
Electric usage,6/14/14,23:00,23:59,0.69,kWh,$0.09 ,
Electric usage,6/15/14,0:00,0:59,0.79,kWh,$0.10 ,
Electric usage,6/15/14,1:00,1:59,0.32,kWh,$0.04 ,
Electric usage,6/15/14,2:00,2:59,0.3,kWh,$0.04 ,
Electric usage,6/15/14,3:00,3:59,0.27,kWh,$0.03 ,
Electric usage,6/15/14,4:00,4:59,0.12,kWh,$0.01 ,
Electric usage,6/15/14,5:00,5:59,0.28,kWh,$0.03 ,
Electric usage,6/15/14,6:00,6:59,0.32,kWh,$0.04 ,
Electric usage,6/15/14,7:00,7:59,0.49,kWh,$0.06 ,
Electric usage,6/15/14,8:00,8:59,0.25,kWh,$0.03 ,
Electric usage,6/15/14,9:00,9:59,0.12,kWh,$0.01 ,
Electric usage,6/15/14,10:00,10:59,0.13,kWh,$0.02 ,
Electric usage,6/15/14,11:00,11:59,0.54,kWh,$0.07 ,
Electric usage,6/15/14,12:00,12:59,0.11,kWh,$0.01 ,
Electric usage,6/15/14,13:00,13:59,0.48,kWh,$0.06 ,
Electric usage,6/15/14,14:00,14:59,1.62,kWh,$0.20 ,
Electric usage,6/15/14,15:00,15:59,1.8,kWh,$0.22 ,
Electric usage,6/15/14,16:00,16:59,2.91,kWh,$0.36 ,
Electric usage,6/15/14,17:00,17:59,3.52,kWh,$0.44 ,
Electric usage,6/15/14,18:00,18:59,3.11,kWh,$0.39 ,
Electric usage,6/15/14,19:00,19:59,3.09,kWh,$0.39 ,
Electric usage,6/15/14,20:00,20:59,0.98,kWh,$0.12 ,
Electric usage,6/15/14,21:00,21:59,0.95,kWh,$0.12 ,
Electric usage,6/15/14,22:00,22:59,0.15,kWh,$0.02 ,
Electric usage,6/15/14,23:00,23:59,0.11,kWh,$0.01 ,
Electric usage,6/16/14,0:00,0:59,0.45,kWh,$0.06 ,
Electric usage,6/16/14,1:00,1:59,0.11,kWh,$0.01 ,
Electric usage,6/16/14,2:00,2:59,0.29,kWh,$0.04 ,
Electric usage,6/16/14,3:00,3:59,0.11,kWh,$0.01 ,
Electric usage,6/16/14,4:00,4:59,0.11,kWh,$0.01 ,
Electric usage,6/16/14,5:00,5:59,0.28,kWh,$0.04 ,
Electric usage,6/16/14,6:00,6:59,2.24,kWh,$0.28 ,
Electric usage,6/16/14,7:00,7:59,0.09,kWh,$0.01 ,
Electric usage,6/16/14,8:00,8:59,0.09,kWh,$0.01 ,
Electric usage,6/16/14,9:00,9:59,0.45,kWh,$0.06 ,
Electric usage,6/16/14,10:00,10:59,0.09,kWh,$0.01 ,
Electric usage,6/16/14,11:00,11:59,0.2,kWh,$0.02 ,
Electric usage,6/16/14,12:00,12:59,0.17,kWh,$0.02 ,
Electric usage,6/16/14,13:00,13:59,0.1,kWh,$0.01 ,
Electric usage,6/16/14,14:00,14:59,0.1,kWh,$0.01 ,
Electric usage,6/16/14,15:00,15:59,0.09,kWh,$0.01 ,
Electric usage,6/16/14,16:00,16:59,0.1,kWh,$0.01 ,
Electric usage,6/16/14,17:00,17:59,0.77,kWh,$0.10 ,
Electric usage,6/16/14,18:00,18:59,2.92,kWh,$0.36 ,
Electric usage,6/16/14,19:00,19:59,1.73,kWh,$0.22 ,
Electric usage,6/16/14,20:00,20:59,1.31,kWh,$0.16 ,
Electric usage,6/16/14,21:00,21:59,1.1,kWh,$0.14 ,
Electric usage,6/16/14,22:00,22:59,1.32,kWh,$0.17 ,
Electric usage,6/16/14,23:00,23:59,0.85,kWh,$0.11 ,
Electric usage,6/17/14,0:00,0:59,0.81,kWh,$0.10 ,
Electric usage,6/17/14,1:00,1:59,0.57,kWh,$0.07 ,
Electric usage,6/17/14,2:00,2:59,0.57,kWh,$0.07 ,
Electric usage,6/17/14,3:00,3:59,0.57,kWh,$0.07 ,
