TYPE,DATE,START TIME,END TIME,USAGE,UNITS,COST,NOTES
Electric usage,2015-02-01,00:00,00:59,0.32,kWh,$0.04,
Electric usage,2015-02-01,01:00,01:59,0.33,kWh,$0.04,
Electric usage,2015-02-01,02:00,02:59,0.33,kWh,$0.04,
Electric usage,2015-02-01,03:00,03:59,0.34,kWh,$0.05,
Electric usage,2015-02-01,04:00,04:59,0.34,kWh,$0.05,
Electric usage,2015-02-01,05:00,05:59,0.71,kWh,$0.09,
Electric usage,2015-02-01,06:00,06:59,0.32,kWh,$0.04,
Electric usage,2015-02-01,07:00,07:59,0.37,kWh,$0.05,
Electric usage,2015-02-01,08:00,08:59,0.37,kWh,$0.05,
Electric usage,2015-02-01,09:00,09:59,0.81,kWh,$0.11,
Electric usage,2015-02-01,10:00,10:59,0.34,kWh,$0.05,
Electric usage,2015-02-01,11:00,11:59,0.29,kWh,$0.04,
Electric usage,2015-02-01,12:00,12:59,0.28,kWh,$0.04,
Electric usage,2015-02-01,13:00,13:59,3.07,kWh,$0.41,
Electric usage,2015-02-01,14:00,14:59,1.01,kWh,$0.14,
Electric usage,2015-02-01,15:00,15:59,0.83,kWh,$0.11,
Electric usage,2015-02-01,16:00,16:59,6.44,kWh,$0.86,
Electric usage,2015-02-01,17:00,17:59,2.3,kWh,$0.31,
Electric usage,2015-02-01,18:00,18:59,0.67,kWh,$0.09,
Electric usage,2015-02-01,19:00,19:59,0.3,kWh,$0.04,
Electric usage,2015-02-01,20:00,20:59,0.3,kWh,$0.04,
Electric usage,2015-02-01,21:00,21:59,0.67,kWh,$0.09,
Electric usage,2015-02-01,22:00,22:59,0.28,kWh,$0.04,
Electric usage,2015-02-01,23:00,23:59,0.31,kWh,$0.04,
Electric usage,2015-02-02,00:00,00:59,0.27,kWh,$0.04,
Electric usage,2015-02-02,01:00,01:59,0.26,kWh,$0.03,
Electric usage,2015-02-02,02:00,02:59,0.63,kWh,$0.08,
Electric usage,2015-02-02,03:00,03:59,0.25,kWh,$0.03,
Electric usage,2015-02-02,04:00,04:59,0.26,kWh,$0.03,
Electric usage,2015-02-02,05:00,05:59,0.29,kWh,$0.04,
Electric usage,2015-02-02,06:00,06:59,2.48,kWh,$0.33,
Electric usage,2015-02-02,07:00,07:59,2.28,kWh,$0.31,
Electric usage,2015-02-02,08:00,08:59,0.09,kWh,$0.01,
Electric usage,2015-02-02,09:00,09:59,0.49,kWh,$0.07,
Electric usage,2015-02-02,10:00,10:59,0.09,kWh,$0.01,
Electric usage,2015-02-02,11:00,11:59,0.09,kWh,$0.01,
Electric usage,2015-02-02,12:00,12:59,0.42,kWh,$0.06,
Electric usage,2015-02-02,13:00,13:59,0.07,kWh,$0.01,
Electric usage,2015-02-02,14:00,14:59,0.09,kWh,$0.01,
Electric usage,2015-02-02,15:00,15:59,0.09,kWh,$0.01,
Electric usage,2015-02-02,16:00,16:59,0.45,kWh,$0.06,
Electric usage,2015-02-02,17:00,17:59,0.1,kWh,$0.01,
Electric usage,2015-02-02,18:00,18:59,0.17,kWh,$0.02,
Electric usage,2015-02-02,19:00,19:59,0.44,kWh,$0.06,
Electric usage,2015-02-02,20:00,20:59,0.49,kWh,$0.07,
Electric usage,2015-02-02,21:00,21:59,1.45,kWh,$0.19,
Electric usage,2015-02-02,22:00,22:59,0.46,kWh,$0.06,
