,conds,hum,precipm,tempm,wspdm
2014-04-01 00:54:00,Scattered Clouds,39.0,,10.0,13.0
2014-04-01 01:54:00,Mostly Cloudy,39.0,,9.4,7.4
2014-04-01 02:54:00,Partly Cloudy,46.0,,7.8,5.6
2014-04-01 03:54:00,Clear,51.0,,6.7,5.6
2014-04-01 04:54:00,Partly Cloudy,56.0,,6.1,5.6
2014-04-01 05:54:00,Partly Cloudy,65.0,,3.9,0.0
2014-04-01 06:54:00,Scattered Clouds,63.0,,4.4,13.0
2014-04-01 07:54:00,Scattered Clouds,58.0,,6.1,0.0
2014-04-01 08:54:00,Scattered Clouds,53.0,,7.2,7.4
2014-04-01 09:54:00,Mostly Cloudy,51.0,,7.8,5.6
2014-04-01 10:54:00,Scattered Clouds,46.0,,10.0,9.3
2014-04-01 11:54:00,Mostly Cloudy,43.0,,11.7,5.6
2014-04-01 12:54:00,Mostly Cloudy,40.0,,12.8,5.6
2014-04-01 13:54:00,Overcast,37.0,,13.9,9.3
2014-04-01 14:54:00,Mostly Cloudy,32.0,,16.1,0.0
2014-04-01 15:54:00,Mostly Cloudy,42.0,,15.0,16.7
2014-04-01 16:54:00,Scattered Clouds,39.0,,15.6,14.8
2014-04-01 17:54:00,Scattered Clouds,44.0,,14.4,14.8
2014-04-01 18:54:00,Scattered Clouds,47.0,,13.3,13.0
2014-04-01 19:54:00,Partly Cloudy,52.0,,11.7,9.3
2014-04-01 20:54:00,Partly Cloudy,56.0,,10.6,7.4
2014-04-01 21:54:00,Clear,57.0,,10.0,0.0
2014-04-01 22:54:00,Clear,63.0,,8.9,0.0
2014-04-01 23:54:00,Scattered Clouds,71.0,,8.3,5.6
2014-04-02 00:54:00,Scattered Clouds,80.0,,7.2,0.0
2014-04-02 01:54:00,Mostly Cloudy,82.0,,6.1,5.6
2014-04-02 02:54:00,Mostly Cloudy,82.0,,6.1,0.0
2014-04-02 03:54:00,Overcast,82.0,,6.1,9.3
2014-04-02 04:54:00,Mostly Cloudy,85.0,,5.6,0.0
2014-04-02 05:54:00,Mostly Cloudy,86.0,,4.4,0.0
2014-04-02 06:54:00,Mostly Cloudy,85.0,,6.7,5.6
2014-04-02 08:54:00,Overcast,79.0,,7.8,7.4
2014-04-02 09:54:00,Overcast,77.0,,8.3,11.1
2014-04-02 10:54:00,Light Rain,74.0,0.0,8.9,9.3
2014-04-02 11:54:00,Light Rain,71.0,0.0,9.4,0.0
2014-04-02 12:54:00,Mostly Cloudy,68.0,0.0,10.6,5.6
2014-04-02 13:54:00,Mostly Cloudy,60.0,,13.3,0.0
2014-04-02 14:54:00,Mostly Cloudy,57.0,,13.9,7.4
2014-04-02 15:54:00,Mostly Cloudy,50.0,0.3,16.1,5.6
2014-04-02 16:54:00,Mostly Cloudy,52.0,,16.1,11.1
2014-04-02 17:54:00,Mostly Cloudy,52.0,,16.1,7.4
2014-04-02 18:54:00,Mostly Cloudy,54.0,,16.1,7.4
2014-04-02 19:54:00,Mostly Cloudy,59.0,,14.0,5.6
2014-04-02 20:54:00,Scattered Clouds,67.0,,12.0,0.0
2014-04-02 21:54:00,Scattered Clouds,74.0,,10.6,0.0
2014-04-02 22:54:00,Mostly Cloudy,80.0,,9.4,0.0
2014-04-02 23:54:00,Mostly Cloudy,82.0,,9.0,0.0
2014-04-03 00:54:00,Scattered Clouds,80.0,,9.4,0.0
2014-04-03 01:54:00,Mostly Cloudy,83.0,,8.9,5.6
2014-04-03 02:54:00,Light Rain,83.0,0.0,10.0,0.0
2014-04-03 03:54:00,Light Rain,89.0,0.3,10.0,0.0
2014-04-03 04:54:00,Overcast,89.0,0.3,10.0,0.0
2014-04-03 05:54:00,Mostly Cloudy,93.0,,10.0,5.6
2014-04-03 06:54:00,Mostly Cloudy,93.0,,10.0,0.0
2014-04-03 07:54:00,Mostly Cloudy,83.0,,11.7,7.4
2014-04-03 08:54:00,Mostly Cloudy,67.0,,12.8,16.7
2014-04-03 09:54:00,Mostly Cloudy,49.0,,13.9,20.4
2014-04-03 10:54:00,Mostly Cloudy,36.0,,15.0,14.8
2014-04-03 11:54:00,Mostly Cloudy,32.0,,15.6,11.1
2014-04-03 12:54:00,Overcast,38.0,,15.6,13.0
2014-04-03 13:54:00,Mostly Cloudy,38.0,,16.1,11.1
2014-04-03 14:54:00,Overcast,41.0,,16.1,5.6
2014-04-03 15:54:00,Overcast,42.0,,16.1,14.8
2014-04-03 16:54:00,Overcast,46.0,,15.6,18.5
