,conds,hum,precipm,tempm,wspdm
2014-01-01 00:51:00,Clear,45.0,,-3.9,5.6
2014-01-01 01:51:00,Clear,43.0,,-3.9,14.8
2014-01-01 02:51:00,Clear,46.0,,-4.4,14.8
2014-01-01 03:51:00,Clear,46.0,,-4.4,14.8
2014-01-01 04:51:00,Clear,48.0,,-4.4,0.0
2014-01-01 05:51:00,Clear,53.0,,-4.4,5.6
2014-01-01 06:51:00,Clear,51.0,,-3.9,7.4
2014-01-01 07:51:00,Clear,53.0,,-3.3,7.4
2014-01-01 08:51:00,Clear,51.0,,-2.2,9.3
2014-01-01 09:51:00,Clear,51.0,,-2.2,14.8
2014-01-01 10:51:00,Clear,49.0,,-1.7,16.7
2014-01-01 11:51:00,Mostly Cloudy,47.0,,-1.1,11.1
2014-01-01 12:51:00,Partly Cloudy,50.0,,-0.6,0.0
2014-01-01 13:51:00,Partly Cloudy,50.0,,0.0,13.0
2014-01-01 14:51:00,Clear,52.0,,0.0,13.0
2014-01-01 15:51:00,Overcast,52.0,,0.0,0.0
2014-01-01 17:51:00,Clear,48.0,,0.6,0.0
2014-01-01 18:51:00,Clear,54.0,,0.0,7.4
2014-01-01 19:51:00,Scattered Clouds,54.0,,0.6,9.3
2014-01-01 20:51:00,Overcast,56.0,,0.0,7.4
2014-01-01 21:51:00,Overcast,59.0,,0.0,11.1
2014-01-01 21:58:00,Overcast,59.0,,0.0,13.0
2014-01-01 22:51:00,Overcast,59.0,,0.0,18.5
2014-01-01 23:51:00,Overcast,59.0,,0.0,13.0
2014-01-02 00:51:00,Overcast,59.0,,0.6,9.3
2014-01-02 01:51:00,Overcast,61.0,,0.0,13.0
2014-01-02 02:51:00,Overcast,66.0,,0.0,13.0
2014-01-02 03:51:00,Overcast,75.0,,-1.1,25.9
2014-01-02 04:15:00,Light Snow,78.0,0.0,-1.7,18.5
2014-01-02 04:51:00,Overcast,75.0,0.0,-1.7,16.7
2014-01-02 05:20:00,Light Snow,78.0,0.0,-2.2,20.4
2014-01-02 05:36:00,Light Snow,81.0,0.3,-2.8,25.9
2014-01-02 05:51:00,Overcast,78.0,0.5,-2.2,14.8
2014-01-02 06:51:00,Overcast,78.0,,-2.8,27.8
2014-01-02 07:51:00,Overcast,75.0,,-2.8,24.1
2014-01-02 08:51:00,Overcast,72.0,,-2.8,24.1
2014-01-02 09:51:00,Overcast,78.0,,-3.3,22.2
2014-01-02 10:51:00,Overcast,75.0,,-3.3,16.7
2014-01-02 11:51:00,Overcast,75.0,,-3.3,20.4
2014-01-02 12:51:00,Overcast,75.0,,-3.3,18.5
2014-01-02 13:51:00,Overcast,75.0,,-3.3,14.8
2014-01-02 14:51:00,Overcast,75.0,,-3.3,16.7
2014-01-02 15:51:00,Overcast,75.0,,-3.3,16.7
2014-01-02 16:51:00,Overcast,75.0,,-3.3,24.1
2014-01-02 17:51:00,Overcast,78.0,,-3.9,25.9
2014-01-02 18:51:00,Light Snow,75.0,0.0,-3.9,14.8
2014-01-02 20:51:00,Snow,85.0,1.8,-5.6,27.8
2014-01-02 21:51:00,Snow,81.0,1.8,-6.1,22.2
2014-01-02 22:51:00,Snow,78.0,1.8,-6.7,24.1
2014-01-02 23:51:00,Snow,84.0,1.5,-7.8,14.8
2014-01-03 00:37:00,Snow,81.0,1.0,-8.3,20.4
2014-01-03 00:51:00,Heavy Snow,81.0,1.5,-8.9,16.7
2014-01-03 01:51:00,Heavy Snow,80.0,1.5,-11.1,22.2
2014-01-03 02:51:00,Heavy Snow,81.0,1.3,-11.7,20.4
2014-01-03 03:51:00,Heavy Snow,81.0,1.0,-11.7,18.5
2014-01-03 04:51:00,Heavy Snow,81.0,1.0,-11.7,24.1
2014-01-03 05:51:00,Light Snow,77.0,0.8,-11.7,20.4
2014-01-03 06:51:00,Light Snow,77.0,0.0,-11.7,14.8
2014-01-03 07:51:00,Light Snow,73.0,0.5,-12.2,14.8
2014-01-03 08:51:00,Light Snow,73.0,0.0,-11.7,25.9
2014-01-03 09:51:00,Light Snow,71.0,0.0,-10.6,
2014-01-03 10:51:00,Overcast,64.0,0.0,-10.0,
2014-01-03 11:51:00,Partly Cloudy,52.0,,-7.8,13.0
2014-01-03 13:51:00,Clear,48.0,,-7.8,16.7
2014-01-03 14:51:00,Clear,47.0,,-8.9,18.5
2014-01-03 15:51:00,Clear,45.0,,-8.9,18.5
2014-01-03 16:51:00,Clear,45.0,,-9.4,18.5
2014-01-03 17:51:00,Clear,47.0,,-10.0,13.0
2014-01-03 18:51:00,Clear,45.0,,-10.6,16.7
2014-01-03 19:51:00,Clear,42.0,,-11.1,14.8
2014-01-03 20:51:00,Clear,47.0,,-11.7,11.1
2014-01-03 21:51:00,Clear,48.0,,-12.0,9.3
2014-01-03 22:51:00,Clear,51.0,,-12.2,7.4
2014-01-03 23:51:00,Clear,53.0,,-12.8,11.1
2014-01-04 00:49:00,Clear,53.0,,-12.8,11.1
2014-01-04 03:51:00,Clear,56.0,,-12.8,0.0
2014-01-04 04:51:00,Clear,61.0,,-12.2,0.0
2014-01-04 05:51:00,Clear,59.0,,-11.7,5.6
2014-01-04 06:51:00,Mostly Cloudy,61.0,,-11.7,7.4
2014-01-04 07:51:00,Clear,64.0,,-11.7,0.0
2014-01-04 08:51:00,Clear,56.0,,-10.0,9.3
2014-01-04 09:51:00,Clear,44.0,,-7.8,5.6
2014-01-04 10:51:00,Clear,37.0,,-6.7,9.3
2014-01-04 11:51:00,Clear,38.0,,-6.1,9.3
2014-01-04 12:51:00,Clear,35.0,,-5.6,13.0
2014-01-04 13:51:00,Clear,34.0,,-4.4,14.8
2014-01-04 14:51:00,Clear,36.0,,-3.9,13.0
2014-01-04 15:51:00,Clear,41.0,,-3.9,7.4
2014-01-04 16:51:00,Clear,39.0,,-3.3,5.6
2014-01-04 17:51:00,Clear,44.0,,-3.3,7.4
2014-01-04 18:51:00,Clear,41.0,,-2.2,5.6
2014-01-04 19:51:00,Clear,43.0,,-1.7,11.1
2014-01-04 20:51:00,Clear,47.0,,-2.2,11.1
2014-01-04 21:51:00,Clear,51.0,,-2.8,7.4
2014-01-04 22:51:00,Clear,56.0,,-2.8,5.6
2014-01-04 23:51:00,Clear,61.0,,-2.2,9.3
2014-01-05 00:51:00,Clear,61.0,,-1.7,11.1
2014-01-05 01:51:00,Clear,61.0,,-1.7,7.4
2014-01-05 02:51:00,Clear,66.0,,-2.8,5.6
2014-01-05 03:51:00,Clear,66.0,,-2.2,7.4
2014-01-05 04:51:00,Clear,69.0,,-2.2,0.0
2014-01-05 05:51:00,Partly Cloudy,69.0,,-2.2,0.0
2014-01-05 06:51:00,Overcast,67.0,,-1.7,7.4
2014-01-05 07:51:00,Overcast,66.0,,-1.1,5.6
2014-01-05 08:51:00,Haze,72.0,,-0.6,0.0
2014-01-05 09:23:00,Haze,82.0,0.3,-0.6,0.0
2014-01-05 09:32:00,Overcast,82.0,0.3,-0.6,0.0
2014-01-05 09:51:00,Overcast,85.0,0.5,0.0,0.0
